번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
7419,3660000-S201000028,2010-12-08,,사용중,탄방동 공작한양아파트(4~6동) 지하주차장 1층,공공용시설,"대전광역시 서구 문정로 131 (탄방동, 공작한양아파트)",대전광역시 서구 탄방동 835번지,35251,지하,9008.26,10919,2023-07-07 9:43,I,2023-07-28 1:14,36,20,48.86,127,23,38.19,36.34690602,127.3939429,990483.3655,1816616.718
7420,3660000-S201000029,2010-12-08,,사용중,탄방동 공작한양아파트(7~8동) 지하주차장 1층,공공용시설,"대전광역시 서구 문정로 131 (탄방동, 공작한양아파트)",대전광역시 서구 탄방동 835번지,35251,지하,9008.26,10919,2023-07-07 9:43,I,2023-07-28 1:14,36,20,48.86,127,23,38.19,36.34690602,127.3939429,990483.3655,1816616.718
7421,3660000-S201000030,2010-12-08,,사용중,탄방동 공작한양아파트 (1~2동) 지하주차장 1층,공공용시설,"대전광역시 서구 문정로 131 (탄방동, 공작한양아파트)",대전광역시 서구 탄방동 835번지,35251,지하,9008.26,10919,2023-07-07 9:43,I,2023-07-28 1:14,36,20,48.86,127,23,38.19,36.34690602,127.3939429,990483.3655,1816616.718
7422,3660000-S201000031,2010-12-08,,사용중,탄방동 한우리아파트(104~106동) 지하주차장 1층,공공용시설,"대전광역시 서구 문정로90번길 60 (탄방동, 한우리아파트)",대전광역시 서구 탄방동 765번지,35263,지하,1024.25,1241,2023-07-07 9:44,I,2023-07-28 1:14,36,20,39.23,127,23,19.2,36.34422978,127.388667,990009.6061,1816320.4
7423,3660000-S201000032,2010-12-08,,사용중,탄방동 한우리아파트(101~103동) 지하주차장 1층,공공용시설,"대전광역시 서구 문정로90번길 60 (탄방동, 한우리아파트)",대전광역시 서구 탄방동 765번지,35263,지하,1349.64,1635,2023-07-07 9:44,I,2023-07-28 1:14,36,20,39.23,127,23,19.2,36.34422978,127.388667,990009.6061,1816320.4
7424,3660000-S201100001,2011-01-04,,사용중,복수동 초록마을1단지 지하주차장 1층,공공용시설,대전광역시 서구 복수동로 21-19,대전광역시 서구 복수동 611번지,35407,지하,3701,4486,2023-07-12 14:31,I,2023-07-28 1:14,36,18,9.09,127,22,47.64,36.30252457,127.3798989,989217.065,1811695.371
7425,3660000-S201100002,2011-01-04,,사용중,복수동 초록마을3-1단지 지하주차장 1층,공공용시설,대전광역시 서구 복수동로 39-26,대전광역시 서구 복수동 615번지,35407,지하,3737,4529,2023-07-12 14:33,I,2023-07-28 1:14,36,18,2.2,127,22,48.74,36.30061062,127.3802048,989244.2668,1811483.04
7426,3660000-S201100003,2011-01-04,,사용중,복수동 초록마을3-2단지 지하주차장 1층,공공용시설,대전광역시 서구 복수동로51번길 43-0,대전광역시 서구 복수동 616번지,35407,지하,10214,12380,2023-07-12 14:33,I,2023-07-28 1:14,36,17,58.29,127,22,51.92,36.29952465,127.3810891,989323.5164,1811362.487
7427,3660000-S201100004,2011-01-04,,사용중,복수동 초록마을5단지 지하주차장 1층,공공용시설,대전광역시 서구 유등로17번길 109-0,대전광역시 서구 복수동 576번지,35411,지하,12985,15739,2023-07-12 14:34,I,2023-07-28 1:14,36,17,52.68,127,22,27.21,36.29833514,127.3749953,988776.2124,1811231.235
7428,3660000-S201100005,2011-03-09,,사용중,괴정동 롯데백화점 지하2층 주차장,공공용시설,대전광역시 서구 계룡로 598 (괴정동),대전광역시 서구 괴정동 423번지 1호,35299,지하,45237,54832,2024-01-31 17:12,U,2024-02-02 2:40,36,20,26.23,127,23,22.21,36.34110213,127.3894167,990076.487,1815973.4
7429,3660000-S201100006,2011-03-30,,사용중,둔산2동 서구청사 지하1층 주차장,공공용시설,"대전광역시 서구 둔산서로 100, 서구청 (둔산동)",대전광역시 서구 둔산동 1300 서구청,35238,지하,7058,8555,2024-01-26 10:08,U,2024-01-28 2:40,36,21,18.26,127,23,1.71,36.35505927,127.3833577,989534.6263,1817522.18
7430,3660000-S201100007,2011-06-22,,사용중,갈마2동 둔원지하보도 (둔원초교 앞) 1층,공공용시설,"대전광역시 서구 대덕대로 101 (갈마동, 둔원초등학교)",대전광역시 서구 갈마동 1243번지,35273,지하,240.64,291,2023-07-05 15:10,I,2023-07-28 1:14,36,20,33.98,127,22,24.09,36.34291415,127.3738524,988680.0375,1816176.1
7431,3660000-S201200001,2012-02-01,,사용중,도안동 한라비발디 지하주차장 1층,공공용시설,대전광역시 서구 도안북로 136,대전광역시 서구 도안동 966번지,35351,지하,34957.53,42372,2024-01-29 17:50,U,2024-01-31 2:40,36,19,47.77,127,20,37.13,36.32993652,127.3436477,985967.2658,1814740.569
